"V1","V2","ID1","pi","nSNP"
"Mp1g25250.1","Pfam:PF07712:Stress up-regulated Nod 19; PTHR33390:SF1:STRESS UP-REGULATED NOD 19 PROTEIN; PANTHER:PTHR33390:STRESS UP-REGULATED NOD 19 PROTEIN; MapolyID:Mapoly0002s0346","Mp1g25250","0.0023338100","14"
"Mp1g25260.1","Pfam:PF07712:Stress up-regulated Nod 19; PANTHER:PTHR33390:STRESS UP-REGULATED NOD 19 PROTEIN; PTHR33390:SF1:STRESS UP-REGULATED NOD 19 PROTEIN; MapolyID:Mapoly0002s0345","Mp1g25260","0.0023492067","16"
"Mp1g25270.1","Pfam:PF07712:Stress up-regulated Nod 19; PTHR33390:SF1:STRESS UP-REGULATED NOD 19 PROTEIN; PANTHER:PTHR33390:STRESS UP-REGULATED NOD 19 PROTEIN; MapolyID:Mapoly0002s0344","Mp1g25270","0.0002381630"," 1"
"Mp1g25280.1","KEGG:K12621:LSM2, U6 snRNA-associated Sm-like protein LSm2; KOG:KOG3448:Predicted snRNP core protein, [A]; CDD:cd01725:LSm2; Pfam:PF01423:LSM domain; PIRSF:PIRSF016394:Lsm2; PANTHER:PTHR13829:SNRNP CORE PROTEIN FAMILY MEMBER; SMART:SM00651:Sm3; SUPERFAMILY:SSF50182:Sm-like ribonucleoproteins; G3DSA:2.30.30.100; GO:0006397:mRNA processing; MapolyID:Mapoly0002s0343","Mp1g25280","0.0021668075","19"
"Mp1g25290.1","PANTHER:PTHR33790:OS05G0344200 PROTEIN; MobiDBLite:consensus disorder prediction; Pfam:PF07145:Ataxin-2 C-terminal region; MapolyID:Mapoly0002s0342","Mp1g25290","0.0022380938","20"
"Mp1g25310.1","KOG:KOG1105:Transcription elongation factor TFIIS/Cofactor of enhancer-binding protein Sp1, C-term missing, [K]; MobiDBLite:consensus disorder prediction; SUPERFAMILY:SSF47676:Conserved domain common to transcription factors TFIIS, elongin A, CRSP70; ProSiteProfiles:PS51319:TFIIS N-terminal domain profile.; Coils:Coil; G3DSA:1.20.930.10:Conserved domain common to transcription factors TFIIS; SMART:SM00509:TFS2_5; Pfam:PF08711:TFIIS helical bundle-like domain; CDD:cd00183:TFIIS_I; PANTHER:PTHR46554:MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 26A-RELATED; GO:0005634:nucleus; MapolyID:Mapoly0002s0340","Mp1g25310","0.0020136057","31"
"Mp1g25320.1","MapolyID:Mapoly0002s0339","Mp1g25320","0.0043339550","19"
"Mp3g16680.1","KOG:KOG1187:Serine/threonine protein kinase, [T]; Pfam:PF07714:Protein tyrosine and serine/threonine kinase; SUPERFAMILY:SSF49899:Concanavalin A-like lectins/glucanases; ProSitePatterns:PS00108:Serine/Threonine protein kinases active-site signature.; SUPERFAMILY:SSF56112:Protein kinase-like (PK-like); G3DSA:3.30.200.20:Phosphorylase Kinase, domain 1; PANTHER:PTHR27007; Pfam:PF00139:Legume lectin domain; G3DSA:1.10.510.10:Transferase(Phosphotransferase) domain 1; CDD:cd14066:STKc_IRAK; SMART:SM00220:serkin_6; ProSitePatterns:PS00107:Protein kinases ATP-binding region signature.; ProSiteProfiles:PS50011:Protein kinase domain profile.; G3DSA:2.60.120.200; CDD:cd06899:lectin_legume_LecRK_Arcelin_ConA; PTHR27007:SF265:L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE VIII.1; GO:0005524:ATP binding; GO:0030246:carbohydrate binding; GO:0006468:protein phosphorylation; GO:0004672:protein kinase activity; MapolyID:Mapoly0004s0003","Mp3g16680","0.0013813500"," 5"
"Mp3g16690.1","KOG:KOG1187:Serine/threonine protein kinase, [T]; ProSiteProfiles:PS50011:Protein kinase domain profile.; Pfam:PF00139:Legume lectin domain; SUPERFAMILY:SSF49899:Concanavalin A-like lectins/glucanases; ProSitePatterns:PS00307:Legume lectins beta-chain signature.; ProSitePatterns:PS00107:Protein kinases ATP-binding region signature.; SUPERFAMILY:SSF56112:Protein kinase-like (PK-like); SMART:SM00220:serkin_6; G3DSA:1.10.510.10:Transferase(Phosphotransferase) domain 1; PANTHER:PTHR27007; CDD:cd06899:lectin_legume_LecRK_Arcelin_ConA; CDD:cd14066:STKc_IRAK; Pfam:PF00069:Protein kinase domain; ProSitePatterns:PS00108:Serine/Threonine protein kinases active-site signature.; G3DSA:2.60.120.200; G3DSA:3.30.200.20:Phosphorylase Kinase, domain 1; PTHR27007:SF265:L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE VIII.1; GO:0030246:carbohydrate binding; GO:0005524:ATP binding; GO:0006468:protein phosphorylation; GO:0004672:protein kinase activity; MapolyID:Mapoly0004s0002","Mp3g16690","0.0003492060"," 3"
"Mp3g16700.1","KOG:KOG0061:Transporter, ABC superfamily (Breast cancer resistance protein), [Q]; PANTHER:PTHR48041:ABC TRANSPORTER G FAMILY MEMBER 28; Pfam:PF00005:ABC transporter; SMART:SM00382:AAA_5; G3DSA:3.40.50.300; Pfam:PF19055:ABC-2 type transporter; Pfam:PF01061:ABC-2 type transporter; ProSitePatterns:PS00211:ABC transporters family signature.; SUPERFAMILY:SSF52540:P-loop containing nucleoside triphosphate hydrolases; CDD:cd03213:ABCG_EPDR; ProSiteProfiles:PS50893:ATP-binding cassette, ABC transporter-type domain profile.; PTHR48041:SF11:ABC TRANSPORTER G FAMILY MEMBER 2; GO:0005524:ATP binding; GO:0016020:membrane; GO:0042626:ATPase-coupled transmembrane transporter activity; MapolyID:Mapoly0004s0001","Mp3g16700","0.0005714285"," 6"
"Mp3g16720.1","MapolyID:Mapoly0039s0123","Mp3g16720","0.0002857140"," 2"
"Mp3g16730.1","KOG:KOG1187:Serine/threonine protein kinase, [T]; KOG:KOG0472:Leucine-rich repeat protein, [S]; KOG:KOG0617:Ras suppressor protein (contains leucine-rich repeats), C-term missing, [T]; ProSiteProfiles:PS50011:Protein kinase domain profile.; ProSitePatterns:PS00108:Serine/Threonine protein kinases active-site signature.; G3DSA:3.80.10.10:Ribonuclease Inhibitor; ProSiteProfiles:PS51450:Leucine-rich repeat profile.; CDD:cd14066:STKc_IRAK; Pfam:PF00069:Protein kinase domain; Pfam:PF00560:Leucine Rich Repeat; G3DSA:3.30.200.20:Phosphorylase Kinase, domain 1; SUPERFAMILY:SSF52047:RNI-like; Pfam:PF13855:Leucine rich repeat; PANTHER:PTHR48056:LRR RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE-RELATED; SUPERFAMILY:SSF56112:Protein kinase-like (PK-like); SMART:SM00369:LRR_typ_2; Pfam:PF08263:Leucine rich repeat N-terminal domain; SMART:SM00220:serkin_6; G3DSA:1.10.510.10:Transferase(Phosphotransferase) domain 1; GO:0005524:ATP binding; GO:0006468:protein phosphorylation; GO:0005515:protein binding; GO:0004672:protein kinase activity; MapolyID:Mapoly0039s0122","Mp3g16730","0.0004285715"," 3"
"Mp3g16740.1","KOG:KOG1187:Serine/threonine protein kinase, [T]; KOG:KOG0472:Leucine-rich repeat protein, [S]; SUPERFAMILY:SSF52058:L domain-like; ProSiteProfiles:PS51450:Leucine-rich repeat profile.; SUPERFAMILY:SSF56112:Protein kinase-like (PK-like); CDD:cd14066:STKc_IRAK; Pfam:PF13855:Leucine rich repeat; PANTHER:PTHR48052:UNNAMED PRODUCT; G3DSA:3.80.10.10:Ribonuclease Inhibitor; Pfam:PF00069:Protein kinase domain; G3DSA:1.10.510.10:Transferase(Phosphotransferase) domain 1; SMART:SM00369:LRR_typ_2; SUPERFAMILY:SSF52047:RNI-like; Pfam:PF08263:Leucine rich repeat N-terminal domain; ProSiteProfiles:PS50011:Protein kinase domain profile.; G3DSA:3.30.200.20:Phosphorylase Kinase, domain 1; SMART:SM00220:serkin_6; ProSitePatterns:PS00108:Serine/Threonine protein kinases active-site signature.; GO:0005524:ATP binding; GO:0006468:protein phosphorylation; GO:0005515:protein binding; GO:0004672:protein kinase activity; MapolyID:Mapoly0039s0121","Mp3g16740","0.0024111100","29"
"Mp3g23110.1","PANTHER:PTHR32429; PTHR32429:SF9:POST-ILLUMINATION CHLOROPHYLL FLUORESCENCE INCREASE; MapolyID:Mapoly0024s0088","Mp3g23110","0.0028032752","38"
"Mp3g23120.1","KEGG:K21866:POLLUX, DMI1, CASTOR, ion channel POLLUX/CASTOR; PANTHER:PTHR31563:ION CHANNEL POLLUX-RELATED; PTHR31563:SF1:ION CHANNEL CASTOR-RELATED; MapolyID:Mapoly0024s0089","Mp3g23120","0.0030480933","21"
"Mp3g23130.1","KOG:KOG1320:Serine protease, [O]; ProSiteProfiles:PS50106:PDZ domain profile.; PANTHER:PTHR45980; CDD:cd00987:PDZ_serine_protease; PTHR45980:SF11; Pfam:PF13180:PDZ domain; G3DSA:2.30.42.10; MobiDBLite:consensus disorder prediction; SUPERFAMILY:SSF50494:Trypsin-like serine proteases; G3DSA:2.30.42.50; Pfam:PF17815:PDZ domain; Pfam:PF13365:Trypsin-like peptidase domain; SMART:SM00228:pdz_new; G3DSA:2.40.10.120; SUPERFAMILY:SSF50156:PDZ domain-like; PRINTS:PR00834:HtrA/DegQ protease family signature; GO:0006508:proteolysis; GO:0004252:serine-type endopeptidase activity; GO:0005515:protein binding; MapolyID:Mapoly0024s0090","Mp3g23130","0.0009481080","25"
"Mp3g23140.1","MobiDBLite:consensus disorder prediction; MapolyID:Mapoly0024s0091","Mp3g23140","0.0009523810"," 2"
"Mp3g23150.1","MapolyID:Mapoly0024s0093","Mp3g23150",NA,NA
"Mp3g23170.1","KEGG:K09422:MYBP, transcription factor MYB, plant; KOG:KOG0048:Transcription factor, Myb superfamily, C-term missing, [K]; MobiDBLite:consensus disorder prediction; ProSiteProfiles:PS51294:Myb-type HTH DNA-binding domain profile.; SMART:SM00717:sant; G3DSA:1.10.10.60; PANTHER:PTHR47994:F14D16.11-RELATED; CDD:cd00167:SANT; Pfam:PF00249:Myb-like DNA-binding domain; SUPERFAMILY:SSF46689:Homeodomain-like; MapolyID:Mapoly0024s0094; MPGENES:MpR2R3-MYB8:transcription factor, MYB","Mp3g23170","0.0019761922","17"
"Mp3g23180.1","MobiDBLite:consensus disorder prediction; MapolyID:Mapoly0024s0095","Mp3g23180",NA,NA
"Mp3g23190.1","MapolyID:Mapoly0024s0096","Mp3g23190","0.0009523810"," 2"
"Mp3g23200.1","MapolyID:Mapoly0024s0097","Mp3g23200","0.0006587688"," 9"
"Mp3g23290.1","MapolyID:Mapoly3457s0001","Mp3g23290",NA,NA
"Mp3g23290.2","MapolyID:Mapoly3457s0001","Mp3g23290",NA,NA
