"CHROM","source","type","start","end","score","strand","phase","attributes","ID","PI","NUMBERofSNPs"
"chr1","feature","gene",1,1967,".","-",".","ID=Mp1g00005a;Name=Mp1g00005a;locus_type=rRNA;note=partial","Mp1g00005a",NA,NA
"chr1","feature","gene",3767,3924,".","-",".","ID=Mp1g00015a;Name=Mp1g00015a;locus_type=rRNA","Mp1g00015a",NA,NA
"chr1","feature","gene",5072,6891,".","-",".","ID=Mp1g00015b;Name=Mp1g00015b;locus_type=rRNA","Mp1g00015b",0.000381061,1
"chr1","feature","gene",13605,13723,".","-",".","ID=Mp1g00015c;Name=Mp1g00015c;locus_type=rRNA","Mp1g00015c",NA,NA
"chr1","feature","gene",15718,17728,".","-",".","ID=Mp1g00015d;Name=Mp1g00015d;locus_type=rRNA","Mp1g00015d",NA,NA
"chr1","feature","gene",19528,19685,".","-",".","ID=Mp1g00025a;Name=Mp1g00025a;locus_type=rRNA","Mp1g00025a",NA,NA
"chr1","feature","gene",20833,22652,".","-",".","ID=Mp1g00025b;Name=Mp1g00025b;locus_type=rRNA","Mp1g00025b",NA,NA
"chr1","feature","gene",24398,24516,".","+",".","ID=Mp1g00025c;Name=Mp1g00025c;locus_type=rRNA","Mp1g00025c",NA,NA
"chr1","feature","gene",31237,33056,".","+",".","ID=Mp1g00025d;Name=Mp1g00025d;locus_type=rRNA","Mp1g00025d",NA,NA
"chr1","feature","gene",34204,34361,".","+",".","ID=Mp1g00025e;Name=Mp1g00025e;locus_type=rRNA","Mp1g00025e",NA,NA
"chr1","feature","gene",36373,37741,".","-",".","ID=Mp1g00035a;Name=Mp1g00035a;locus_type=rRNA;note=partial","Mp1g00035a",NA,NA
"chr1","feature","gene",44464,44582,".","-",".","ID=Mp1g00035b;Name=Mp1g00035b;locus_type=rRNA","Mp1g00035b",NA,NA
"chr1","feature","gene",46560,47452,".","-",".","ID=Mp1g00035c;Name=Mp1g00035c;locus_type=rRNA;note=partial","Mp1g00035c",NA,NA
"chr1","feature","gene",47955,48093,".","+",".","ID=Mp1g00035d;Name=Mp1g00035d;locus_type=rRNA;note=partial","Mp1g00035d",NA,NA
"chr1","feature","gene",49893,51899,".","+",".","ID=Mp1g00035e;Name=Mp1g00035e;locus_type=rRNA","Mp1g00035e",0.000285714,1
"chr1","feature","gene",53837,53954,".","+",".","ID=Mp1g00035f;Name=Mp1g00035f;locus_type=rRNA","Mp1g00035f",NA,NA
"chr1","feature","gene",59615,59733,".","-",".","ID=Mp1g00035g;Name=Mp1g00035g;locus_type=rRNA","Mp1g00035g",NA,NA
